publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score,translate
2025-05-27,20:39,"Trump says Golden Dome to cost Canada $61 bln, but free if it gives up sovereignty By Investing.com",https://www.investing.com/news/economy-news/trump-says-golden-dome-to-cost-canada-61-bln-but-free-if-it-gives-up-sovereignty-4066382,Neutral,1,"Former President Trump stated that Canada could join his proposed ""Golden Dome"" missile defense system for $61 billion, or for free if it became the 51st U.S. state. This offer follows prior Canadian interest in the project but was coupled with a condition on sovereignty that Canada has previously rejected.",0,0,"อดีตประธานาธิบดีทรัมป์กล่าวว่าแคนาดาสามารถเข้าร่วมระบบป้องกันขีปนาวุธ ""โดมทองคำ"" ที่เขาเสนอได้ในราคา 61 พันล้านดอลลาร์ หรือฟรีหากแคนาดาเป็นรัฐที่ 51 ของสหรัฐอเมริกา ข้อเสนอนี้เกิดขึ้นหลังจากที่แคนาดาเคยแสดงความสนใจในโครงการนี้ แต่มาพร้อมกับเงื่อนไขด้านอธิปไตยที่แคนาดาเคยปฏิเสธไปแล้ว"
2025-05-27,20:35,"Elon Musk must face lawsuit over his role in DOGE under Trump, judge says By Investing.com",https://www.investing.com/news/economy-news/elon-musk-must-face-lawsuit-over-his-role-in-doge-under-trump-judge-says-4066381,Negative,2,"A federal judge has allowed a lawsuit against Elon Musk to proceed, challenging his role and alleged actions within a government agency (DOGE) under the Trump administration. The suit claims Musk acted as a de facto head of the agency, which lacked legal basis, and exceeded lawful authority, potentially violating the Constitution.",-1,-2,ผู้พิพากษาของรัฐบาลกลางได้อนุญาตให้ดำเนินคดีฟ้องร้องต่อ Elon Musk ต่อไป โดยโต้แย้งบทบาทและการกระทำที่ถูกกล่าวหาของเขาภายในหน่วยงานรัฐบาล (DOGE) ภายใต้การบริหารของทรัมป์ คดีดังกล่าวอ้างว่า Musk ทำหน้าที่เป็นหัวหน้าหน่วยงานโดยพฤตินัย ซึ่งขาดพื้นฐานทางกฎหมาย และใช้อำนาจเกินขอบเขตที่ชอบด้วยกฎหมาย ซึ่งอาจละเมิดรัฐธรรมนูญ
2025-05-27,20:26,Circle Internet IPO multiple times oversubscribed- Bloomberg By Investing.com,https://www.investing.com/news/stock-market-news/circle-internet-ipo-multiple-times-oversubscribed-bloomberg-4066377,Positive,5,"Circle Internet's initial public offering is reportedly multiple times oversubscribed, indicating strong investor demand. This strong interest is occurring amidst improving sentiment in the crypto market, partly driven by hopes for more favorable U.S. regulation and progress on a stablecoin bill.",1,5,มีรายงานว่าการเสนอขายหุ้น IPO ของ Circle Internet มีผู้จองซื้อเกินจำนวนหลายเท่า ซึ่งบ่งชี้ถึงความต้องการของนักลงทุนที่แข็งแกร่ง ความสนใจที่แข็งแกร่งนี้เกิดขึ้นท่ามกลางความเชื่อมั่นที่ดีขึ้นในตลาดคริปโต ซึ่งส่วนหนึ่งเป็นผลมาจากความหวังในการออกกฎระเบียบของสหรัฐฯ ที่เอื้ออำนวยมากขึ้นและความคืบหน้าเกี่ยวกับร่างกฎหมาย Stablecoin
2025-05-27,20:07,US stock futures steady with Nvidia earnings in focus By Investing.com,https://www.investing.com/news/stock-market-news/us-stock-futures-steady-with-nvidia-earnings-in-focus-4066366,Positive,5,"US stock futures edged slightly higher, with market focus primarily on the upcoming earnings report from AI leader Nvidia, expected to be strong and act as a tech sector bellwether. This follows a strong previous session on Wall Street, driven by positive sentiment from President Trump delaying EU tariffs and better-than-expected consumer confidence data.",1,5,สัญญาซื้อขายล่วงหน้าหุ้นสหรัฐฯ ปรับตัวขึ้นเล็กน้อย โดยตลาดให้ความสนใจเป็นหลักกับรายงานผลประกอบการที่กำลังจะมาถึงของ Nvidia ผู้นำด้าน AI ซึ่งคาดว่าจะแข็งแกร่งและเป็นตัวบ่งชี้ทิศทางของกลุ่มเทคโนโลยี ทั้งนี้ สืบเนื่องมาจากการซื้อขายที่แข็งแกร่งในวอลล์สตรีทเมื่อวันก่อนหน้า ซึ่งได้รับแรงหนุนจากความเชื่อมั่นเชิงบวกที่ประธานาธิบดีทรัมป์เลื่อนการเก็บภาษีจากสหภาพยุโรป และข้อมูลความเชื่อมั่นผู้บริโภคที่ดีเกินคาด
2025-05-27,19:51,"Japan offers to buy US chips as part of tariff negotiations, Asahi reports By Investing.com",https://www.investing.com/news/stock-market-news/japan-offers-to-buy-us-chips-as-part-of-tariff-negotiations-asahi-reports-4066353,Positive,5,"Japan has proposed purchasing billions of dollars in US semiconductor products, including from NVIDIA, potentially with government subsidies, as part of trade negotiations. The plan aims to reduce the US trade deficit and strengthen the US-Japan semiconductor supply chain.",1,5,ญี่ปุ่นได้เสนอที่จะซื้อผลิตภัณฑ์เซมิคอนดักเตอร์จากสหรัฐฯ มูลค่าหลายพันล้านดอลลาร์ ซึ่งรวมถึงผลิตภัณฑ์จาก NVIDIA โดยอาจมีการอุดหนุนจากรัฐบาล ซึ่งเป็นส่วนหนึ่งของการเจรจาทางการค้า แผนนี้มีเป้าหมายเพื่อลดการขาดดุลการค้าของสหรัฐฯ และเสริมสร้างห่วงโซ่อุปทานเซมิคอนดักเตอร์ระหว่างสหรัฐฯ และญี่ปุ่น
2025-05-27,19:21,"Trump says working on taking Fannie Mae, Freddie Mac public By Investing.com",https://www.investing.com/news/stock-market-news/trump-says-working-on-taking-fannie-mae-freddie-mac-public-4066344,Positive,5,"President Trump announced he is actively working on taking mortgage giants Fannie Mae and Freddie Mac public, while assuring that the U.S. government will retain implicit guarantees and oversight. He indicated the companies are performing well and the timing seems right for a listing, though the specific terms are not yet clear.",1,5,ประธานาธิบดีทรัมป์ประกาศว่าเขากำลังดำเนินการอย่างแข็งขันในการนำบริษัทสินเชื่อที่อยู่อาศัยยักษ์ใหญ่อย่าง แฟนนี เม และ เฟรดดี แมค เข้าจดทะเบียนในตลาดหลักทรัพย์ พร้อมทั้งรับรองว่ารัฐบาลสหรัฐฯ จะยังคงให้การค้ำประกันโดยปริยายและการกำกับดูแลอยู่ เขาระบุว่าบริษัทเหล่านี้มีผลการดำเนินงานที่ดี และจังหวะเวลาดูเหมือนจะเหมาะสมสำหรับการนำเข้าจดทะเบียน แม้ว่าเงื่อนไขเฉพาะจะยังไม่ชัดเจนก็ตาม
2025-05-27,16:41,Nvidia suppliers ramp up AI server production after technical snag,https://www.investing.com/news/stock-market-news/nvidia-suppliers-ramp-up-ai-server-production-after-technical-snag--ft-4066110,Positive,5,"Nvidia's key suppliers have successfully resolved technical issues that were delaying shipments of the new ""Blackwell"" AI data center servers. This breakthrough allows production and shipments to commence, addressing a previous hurdle for Nvidia's sales initiatives.",1,5,"ซัพพลายเออร์หลักของ Nvidia ได้แก้ไขปัญหาทางเทคนิคที่ทำให้การจัดส่งเซิร์ฟเวอร์ AI data center รุ่นใหม่ ""Blackwell"" ล่าช้าได้สำเร็จ ความสำเร็จครั้งนี้ทำให้การผลิตและการจัดส่งเริ่มต้นขึ้นได้ ซึ่งเป็นการแก้ไขอุปสรรคก่อนหน้านี้สำหรับโครงการริเริ่มด้านการขายของ Nvidia"
2025-05-27,08:32,25% tariff not enough to push Apple to reshore iPhone production,https://www.investing.com/news/stock-market-news/25-tariff-not-enough-to-push-apple-to-reshore-iphone-production--morgan-stanley-4064984,Negative,4,"Morgan Stanley analysts believe a 25% tariff on iPhones is insufficient to incentivize Apple to move production to the U.S. due to significantly higher costs and logistical hurdles. However, they warn that Apple's resistance could strain its relationship with the administration and risk higher tariffs, despite estimating a small immediate impact on EPS.",-1,-4,นักวิเคราะห์ของมอร์แกน สแตนลีย์เชื่อว่าการเก็บภาษี 25% สำหรับ iPhone นั้นไม่เพียงพอที่จะจูงใจให้ Apple ย้ายฐานการผลิตไปยังสหรัฐอเมริกา เนื่องจากต้นทุนที่สูงขึ้นอย่างมากและอุปสรรคด้านโลจิสติกส์ อย่างไรก็ตาม พวกเขาเตือนว่าการต่อต้านของ Apple อาจสร้างความตึงเครียดในความสัมพันธ์กับรัฐบาลและเสี่ยงต่อการถูกเก็บภาษีที่สูงขึ้น แม้ว่าพวกเขาจะประเมินว่าผลกระทบต่อกำไรต่อหุ้นในทันทีนั้นมีเพียงเล็กน้อยก็ตาม
2025-05-27,08:23,JPM highlights top 6 European investment ideas for next 12–18 months By Investing.com,https://www.investing.com/news/stock-market-news/jpm-highlights-top-6-european-investment-ideas-for-next-1218-months-4064930,Positive,5,"JPMorgan has outlined its top six European investment ideas for the next 12-18 months, focusing on sectors expected to benefit from structural and policy changes. Key themes include defense spending, German infrastructure stimulus, financials (favoring insurance), chemicals, utilities/telecoms, and German small caps.",1,5,"เจพีมอร์แกนได้สรุปแนวคิดการลงทุนชั้นนำ 6 อันดับแรกในยุโรปสำหรับช่วง 12-18 เดือนข้างหน้า โดยเน้นที่ภาคส่วนที่คาดว่าจะได้รับประโยชน์จากการเปลี่ยนแปลงเชิงโครงสร้างและนโยบาย ธีมหลักๆ ได้แก่ การใช้จ่ายด้านกลาโหม, มาตรการกระตุ้นโครงสร้างพื้นฐานของเยอรมนี, ภาคการเงิน (เน้นบริษัทประกัน), เคมีภัณฑ์, สาธารณูปโภค/โทรคมนาคม และหุ้นขนาดเล็กของเยอรมนี"
2025-05-27,08:05,"Next 300 points likely up for the S&P 500, says JPMorgan By Investing.com",https://www.investing.com/news/stock-market-news/next-300-points-likely-up-for-the-sp-500-says-jpmorgan-4064865,Positive,5,"JPMorgan analysts predict the S&P 500's next move is likely higher by 300 points, viewing the recent market pullback as a temporary correction. Their bullish outlook is supported by stable macro data, positive earnings trends, and easing trade tensions.",1,5,นักวิเคราะห์ของ JPMorgan คาดการณ์ว่าการเคลื่อนไหวครั้งต่อไปของ S&P 500 น่าจะเป็นไปในทิศทางที่สูงขึ้นอีก 300 จุด โดยมองว่าการปรับตัวลงของตลาดล่าสุดเป็นการปรับฐานชั่วคราว มุมมองเชิงบวกของพวกเขาสนับสนุนโดยข้อมูลเศรษฐกิจมหภาคที่มั่นคง แนวโน้มผลประกอบการที่เป็นบวก และความตึงเครียดทางการค้าที่คลี่คลายลง
