currency,date,time,intensity,event
USD,2025/06/18,00:00:00,2,การประมูลพันธบัตร TIPS อายุ 5 ปี
USD,2025/06/18,03:30:00,2,รายงานสินค้าคงเหลือของน้ำมันดิบประจำไตรมาสจาก API
NZD,2025/06/18,04:00:00,2,ดัชนีความเชื่อมั่นผู้บริโภคจาก Westpac  (ไตรมาส 2)
NZD,2025/06/18,05:45:00,2,บัญชีเดินสะพัด (Current Account) (ไตรมาสต่อไตรมาส)  (ไตรมาส 1)
NZD,2025/06/18,05:45:00,2,Current Account (ปีต่อปี)  (ไตรมาส 1)
NZD,2025/06/18,05:45:00,1,% ของดุลบัญชีเดินสะพัดต่อค่าจีดีพี  (ไตรมาส 1)
JPY,2025/06/18,06:00:00,1,ดัชนีจากการสำรวจ Reuters Tankan  (มิ.ย.)
JPY,2025/06/18,06:50:00,2,ดุลการค้าที่ได้ปรับรายการ
JPY,2025/06/18,06:50:00,1,ยอดคำสั่งซื้อสินค้าประเภทเครื่องจักร (เดือนต่อเดือน)  (เม.ย.)
JPY,2025/06/18,06:50:00,1,ยอดคำสั่งซื้อเครื่องจักรกล (ปีต่อปี)  (เม.ย.)
JPY,2025/06/18,06:50:00,2,ปริมาณการส่งออก (ปีต่อปี)  ( พ.ค.)
JPY,2025/06/18,06:50:00,1,ปริมาณการนำเข้า (ปีต่อปี)  ( พ.ค.)
JPY,2025/06/18,06:50:00,2,ดุลการค้า  ( พ.ค.)
AUD,2025/06/18,08:00:00,1,ดัชนีชี้นำจากสถาบัน MI (เดือนต่อเดือน)  ( พ.ค.)
NZD,2025/06/18,10:00:00,1,การลงทุนข้ามชาติจากธนาคารกลางนิวซีแลนด์  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาผู้บริโภคพื้นฐาน (Core CPI) (เดือนต่อเดือน)  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาผู้บริโภคพื้นฐาน (Core CPI) (ปีต่อปี)  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาขายปลีกพื้นฐาน (Core RPI) (ปีต่อปี)  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาขายปลีกพื้นฐาน (Core RPI) (เดือนต่อเดือน)  ( พ.ค.)
GBP,2025/06/18,13:00:00,3,ดัชนีราคาผู้บริโภค (CPI) (ปีต่อปี)  ( พ.ค.)
GBP,2025/06/18,13:00:00,2,ดัชนีราคาผู้บริโภค (CPI) (เดือนต่อเดือน)  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาผู้บริโภคที่ไม่ได้ปรับฤดูกาล  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาขายปลีก (RPI) (เดือนต่อเดือน)  ( พ.ค.)
GBP,2025/06/18,13:00:00,1,ดัชนีราคาขายปลีก (RPI) (ปีต่อปี)  ( พ.ค.)
SEK,2025/06/18,14:30:00,2,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ยของสวีเดน
SEK,2025/06/18,14:30:00,1,รายงานการประชุมนโยบายการเงินของสวีเดน
EUR,2025/06/18,14:30:00,2,แถลงการณ์ของนายเอลเดอร์สัน (Elderson) แห่ง ECB
EUR,2025/06/18,15:00:00,1,บัญชีเดินสะพัด (Current Account)  (เม.ย.)
EUR,2025/06/18,15:00:00,1,บัญชีเดินสะพัดที่ไม่ได้ปรับปรุงตามฤดูกาล  (เม.ย.)
ZAR,2025/06/18,15:00:00,1,ดัชนีราคาผู้บริโภคพื้นฐาน (Core CPI) (ปีต่อปี)  ( พ.ค.)
ZAR,2025/06/18,15:00:00,1,ดัชนีราคาผู้บริโภคพื้นฐาน (Core CPI) (เดือนต่อเดือน)  ( พ.ค.)
ZAR,2025/06/18,15:00:00,1,South African CPI (ปีต่อปี)  ( พ.ค.)
ZAR,2025/06/18,15:00:00,1,ดัชนีราคาผู้บริโภคของแอฟริกาใต้ (เดือนต่อเดือน)  ( พ.ค.)
GBP,2025/06/18,15:30:00,1,ดัชนีราคาที่อยู่อาศัย (ปีต่อปี)
EUR,2025/06/18,16:00:00,2,ดัชนีราคาผู้บริโภคพื้นฐาน (Core CPI) (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนีราคาผู้บริโภคพื้นฐาน (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/18,16:00:00,2,ดัชนีราคาผู้บริโภค (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/18,16:00:00,3,ดัชนีราคาผู้บริโภค (CPI) (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนีราคาผู้บริโภคไม่รวมสินค้าประเภทมันสำปะหลัง (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนีราคาผู้บริโภคไม่รวมสินค้าประเภทมันสำปะหลัง (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนีราคาผู้บริโภคที่ไม่ได้ปรับฤดูกาล  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนี HICP ที่ไม่รวมกลุ่มสินค้าพลังงาน & อาหาร (ปีต่อปี)  ( พ.ค.)
EUR,2025/06/18,16:00:00,1,ดัชนี HICP ที่ไม่รวมกลุ่มสินค้าพลังงานและอาหาร (เดือนต่อเดือน)  ( พ.ค.)
EUR,2025/06/18,16:30:00,1,การประมูลพันธบัตรรัฐบาลเยอรมนี Bund อายุ 30 ปี
EUR,2025/06/18,17:00:00,1,บัญชีเดินสะพัดของโปรตุเกส  (เม.ย.)
USD,2025/06/18,18:00:00,1,อัตราดอกเบี้ยเงินกู้ระยะ 30 ปีจากสมาคม MBA
USD,2025/06/18,18:00:00,1,ปริมาณการยื่นขอสินเชื่อเพื่อที่อยู่อาศัย (สัปดาห์ต่อสัปดาห์)
USD,2025/06/18,18:00:00,1,ดัชนีการจัดซื้อจาก MBA
USD,2025/06/18,18:00:00,1,ดัชนีตลาดสินเชื่อที่อยู่อาศัย
USD,2025/06/18,18:00:00,1,ดัชนีรีไฟแนนซ์สินเชื่อที่อยู่อาศัย
ZAR,2025/06/18,18:00:00,1,ดัชนียอดขายปลีกของแอฟริกาใต้ (ปีต่อปี)  (เม.ย.)
USD,2025/06/18,19:30:00,1,ใบอนุญาตก่อสร้าง (เดือนต่อเดือน)  ( พ.ค.)
USD,2025/06/18,19:30:00,2,รายงานจำนวนใบอนุญาตก่อสร้าง  ( พ.ค.)
