currency,date,time,intensity,event
CAD,2025/06/19,00:30:00,1,BOC Summary of Deliberations
EUR,2025/06/19,00:30:00,2,คำกล่าวของนายเบิร์คฮาร์ด บัลซ์ (Balz) แห่งธนาคารกลางเยอรมนี (Buba)
BRL,2025/06/19,00:30:00,1,ดัชนีกระแสการแลกเปลี่ยนเงินตราต่างประเทศของบราซิล
USD,2025/06/19,01:00:00,2,การคาดการณ์อัตราดอกเบี้ย - ปีที่ 1  (ไตรมาส 2)
USD,2025/06/19,01:00:00,2,การคาดการณ์อัตราดอกเบี้ย - ปีที่ 2  (ไตรมาส 2)
USD,2025/06/19,01:00:00,2,การคาดการณ์อัตราดอกเบี้ย - ปัจจุบัน  (ไตรมาส 2)
USD,2025/06/19,01:00:00,2,การคาดการณ์อัตราดอกเบี้ย - ระยะยาว  (ไตรมาส 2)
USD,2025/06/19,01:00:00,3,การคาดการณ์เศรษฐกิจของคณะกรรมการนโยบายธนาคารกลางแห่งสหรัฐ
USD,2025/06/19,01:00:00,3,แถลงการณ์ของคณะกรรมการนโยบายการเงินธนาคารกลางสหรัฐ
USD,2025/06/19,01:00:00,3,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ย
EUR,2025/06/19,01:00:00,2,คำกล่าวของ เด กินโดส (De Guindos) แห่งธนาคารกลางยุโรป
USD,2025/06/19,01:30:00,3,การแถลงข่าวต่อสื่อมวลชนของคณะกรรมการกำหนดนโยบายการเงิน (FOMC) ของสหรัฐ
USD,2025/06/19,03:00:00,1,ยอดซื้อพันธบัตรสหรัฐสุทธิของต่างชาติ  (เม.ย.)
USD,2025/06/19,03:00:00,1,กระแสเงินทุนสุทธิโดยรวม  (เม.ย.)
USD,2025/06/19,03:00:00,2,ดัชนีธุรกรรมระยะยาวสุทธิจากสถาบัน TIC  (เม.ย.)
USD,2025/06/19,03:00:00,1,ดัชนีธุรกรรมระยะยาวสุทธิที่ไม่รวมสัญญาแลกเปลี่ยนจากสถาบัน TIC  (เม.ย.)
BRL,2025/06/19,04:30:00,2,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ยของบราซิล
NZD,2025/06/19,05:45:00,2,ดัชนีจีดีพี (GDP) (ไตรมาสต่อไตรมาส)  (ไตรมาส 1)
NZD,2025/06/19,05:45:00,1,จีดีพีรายปี (ปีต่อปี)  (ไตรมาส 1)
NZD,2025/06/19,05:45:00,1,จีดีพีรายปีเฉลี่ย  (ไตรมาส 1)
NZD,2025/06/19,05:45:00,1,จีดีพีวัดค่ารายจ่าย (ไตรมาสต่อไตรมาส)  (ไตรมาส 1)
JPY,2025/06/19,06:50:00,1,ยอดการซื้อตราสารหนี้ต่างประเทศ
JPY,2025/06/19,06:50:00,1,การลงทุนจากต่างประเทศในหุ้นญี่ปุ่น
AUD,2025/06/19,08:30:00,2,การเปลี่ยนแปลงในการจ้างงาน (Employment Change)  ( พ.ค.)
AUD,2025/06/19,08:30:00,2,การเปลี่ยนแปลงการจ้างงานแบบเต็มเวลา  ( พ.ค.)
AUD,2025/06/19,08:30:00,1,อัตราการมีส่วนร่วม  ( พ.ค.)
AUD,2025/06/19,08:30:00,1,เงินสำรองระหว่างประเทศทั้งหมด  ( พ.ค.)
AUD,2025/06/19,08:30:00,2,อัตราการว่างงาน  ( พ.ค.)
JPY,2025/06/19,10:35:00,1,การประมูลพันธบัตร JGB อายุ 5  ปี
CHF,2025/06/19,13:00:00,1,ดุลการค้า  ( พ.ค.)
CHF,2025/06/19,14:30:00,3,การตัดสินใจเกี่ยวกับอัตราดอกเบี้ย  (ไตรมาส 2)
CHF,2025/06/19,14:30:00,2,การประเมินนโยบายการเงินของธนาคารกลางสวิตเซอร์แลนด์
EUR,2025/06/19,14:30:00,2,คำกล่าวของ ลาการ์ด (Lagarde) ประธานธนาคารกลางยุโรป
