ticker,publish_date,publish_time,title,url,sentiment,importance,summary,sentiment_score,weighted_score
AMZN,2025-05-23,14:36,Amazon.com is sued over alleged sale of contaminated rice By Reuters,https://www.investing.com/news/stock-market-news/amazoncom-is-sued-over-alleged-sale-of-contaminated-rice-4062390,Negative,4,"Amazon.com is facing a lawsuit for allegedly selling rice products contaminated with arsenic and other heavy metals. The lawsuit, filed in Seattle federal court, covers 18 types of rice, including brands like Ben’s Original and Whole Foods’ 365, and seeks damages of at least $5 million.",-1,-4
AMZN,2025-05-23,14:14,"Oracle to buy $40 billion of Nvidia chips for OpenAI’s US data center, FT reports By Reuters",https://www.investing.com/news/stock-market-news/oracle-to-buy-40-billion-of-nvidia-chips-for-openais-us-data-center-ft-reports-4062372,Neutral,3,"Oracle plans to buy $40 billion worth of Nvidia chips to power OpenAI's new data center in the U.S., aiming to bolster its cloud computing capabilities and reduce OpenAI's dependence on Microsoft.",0,0
AMZN,2025-05-23,09:19,"Amazon not seeing notable impact from tariffs yet, Q2 revenue tracking higher By Investing.com",https://www.investing.com/news/pro/amazon-not-seeing-notable-impact-from-tariffs-yet-q2-revenue-tracking-higher-4061987,Positive,4,"Amazon is not experiencing a significant impact from tariffs, and its second-quarter revenue is tracking higher than expected.",1,4
AMZN,2025-05-23,09:04,Amazon Com Inc receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/da-davidson-maintains-amazoncom-at-buy-with-a-price-target-of-23000-4061961,Neutral,1,"The article is a standard risk disclosure statement from Investing.com regarding the volatility and risks associated with trading financial instruments and cryptocurrencies. It emphasizes the importance of being informed about risks and costs, and reminds users that the data provided may not be real-time or accurate.",0,0
AMZN,2025-05-23,05:53,Wall St falls as Trump tariff threats spark market uncertainty By Reuters,https://www.investing.com/news/stock-market-news/us-stock-futures-flat-on-debt-worries-as-markets-mull-trumps-tax-bill-4061588,Negative,4,"U.S. stocks fell on Friday following President Donald Trump's recommendation of 50% tariffs on European goods, which reopened global trade tensions and caused market uncertainty. Technology and consumer discretionary stocks, including Amazon, were among the biggest losers.",-1,-4
AMZN,2025-05-23,05:22,Workday Inc receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/jpmorgan-maintains-workday-at-overweight-with-a-price-target-of-29500-4061513,Neutral,1,"The article discusses the risks associated with trading in financial instruments and cryptocurrencies, highlighting the volatility and potential for loss. It also includes a disclaimer about the accuracy of the data provided and the liability of the information source.",0,0
AMZN,2025-05-23,05:00,Nike receives Investment Bank Analyst Rating Update By Investing.com,https://www.investing.com/news/pro/jefferies-maintains-nike-at-buy-with-a-price-target-of-11500-4061473,Neutral,1,"The article is a disclaimer from Investing.com regarding the risks associated with trading financial instruments and cryptocurrencies. It emphasizes the high risks, volatility, and the need for careful consideration and professional advice before trading.",0,0
AMZN,2025-05-22,20:00,This CEO ’is making all the right moves to unlock meaningful upside’ By Investing.com,https://www.investing.com/news/pro/this-ceo-is-making-all-the-right-moves-to-unlock-meaningful-upside-432SI-4061103,Neutral,1,"The article is a risk disclosure statement from Investing.com, warning about the high risks associated with trading financial instruments and cryptocurrencies, including the potential for significant losses and the impact of external factors. It advises investors to be well-informed and consider their objectives, experience, and risk appetite before trading.",0,0
AMZN,2025-05-22,18:12,Celebrities unite at exclusive Cannes gala to support AIDS research after Trump cuts By Reuters,https://www.investing.com/news/world-news/celebrities-unite-at-exclusive-cannes-gala-to-support-aids-research-after-trump-cuts-4061050,Negative,1,"Celebrities gathered at an exclusive Cannes gala to raise funds for AIDS research, expressing concerns over U.S. President Donald Trump's budget cuts affecting global AIDS research and prevention. The event highlighted the critical role of amfAR in advocacy and research, with notable attendees including Jeff Bezos' fiancee, Lauren Sanchez.",-1,-1
AMZN,2025-05-22,18:06,Disney seeks to stop YouTube from hiring veteran to oversee sports and media By Reuters,https://www.investing.com/news/stock-market-news/youtube-hires-former-disney-veteran-to-oversee-sports-and-media-4061043,Neutral,3,"Disney is suing YouTube to prevent the hiring of Justin Connolly, a long-time Disney executive, alleging breach of contract. YouTube has been expanding its live sports portfolio, competing with other platforms like Amazon.",0,0
AMZN,2025-05-22,17:35,"Ackman’s hedge fund Pershing Square bets on Amazon, exits Canadian Pacific By Reuters",https://www.investing.com/news/stock-market-news/ackmans-hedge-fund-pershing-square-bets-on-amazon-exits-canadian-pacific-4061007,Positive,4,"Billionaire investor Bill Ackman's hedge fund, Pershing Square, has acquired shares in Amazon, expressing confidence in the company's ability to manage tariff impacts and praising CEO Andrew Jassy's efficiency. The fund also made adjustments to its portfolio, including exiting Canadian Pacific and adding stakes in Hertz and Uber.",1,4
AMZN,2025-05-22,16:30,U.S. stocks mixed at close of trade; Dow Jones Industrial Average down 0.00% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-mixed-at-close-of-trade-dow-jones-industrial-average-down-000-4060724,Neutral,2,"U.S. stocks closed mixed with the Dow Jones Industrial Average remaining unchanged, the S&P 500 declining slightly, and the NASDAQ Composite gaining. Notable performers included Amazon.com Inc (AMZN), which rose 0.99%, and significant declines in stocks like Enphase Energy Inc and Humana Inc.",0,0
AMZN,2025-05-22,14:46,Amazon stock rises following Pershing Square’s stake reveal By Investing.com,https://www.investing.com/news/stock-market-news/amazon-stock-rises-following-pershing-squares-stake-reveal-4060485,Positive,5,"Amazon (AMZN) shares rose 1.5% after Bill Ackman's Pershing Square revealed a new stake in the company, citing the strategic value of Amazon's dual business model and the attractive entry point due to recent price dips. Pershing Square highlighted the strength of Amazon Web Services (AWS) and the retail segment's ubiquity, expressing confidence in Amazon's future performance.",1,5
AMZN,2025-05-22,14:31,Pershing Square Call Live Link By Investing.com,https://www.investing.com/news/pro/pershing-square-call-live-link-432SI-4060475,Neutral,1,"The article is a risk disclosure statement from Investing.com, warning about the high risks and volatility associated with trading in financial instruments and cryptocurrencies. It emphasizes the need for thorough understanding and professional advice before trading.",0,0
AMZN,2025-05-22,13:56,"Amazon tests AI audio summaries for products, expanding tech giant’s AI push (May 21) By Reuters",https://www.investing.com/news/stock-market-news/amazon-tests-ai-audio-summaries-for-products-expanding-tech-giants-ai-push-may-21-4060447,Positive,4,"Amazon is testing AI-powered audio summaries for products, continuing its push to integrate AI across its platforms. This feature, along with other AI tools like Alexa+ and Rufus, aims to enhance the shopping experience for customers.",1,4
